date,ticker,name,market,close,change_pct,volume,value_eok,ma5,ma20,ma60,ma120,rsi14,volume_ratio_20d,value_ratio_20d,gap_pct,upper_shadow_pct,close_position_pct,distance_ma20_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,entry_risk,chart_score,comment
20260506,038060,루멘스,KOSDAQ,1586,30.0,12698557,201.4,1257.2,1177.9,860.05,760.42,65.28,1.82,2.01,1.23,0.0,100.0,34.65,False,False,strong_uptrend,strong_close,momentum_watch,high,72,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 20일선 이격 34.6%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,012340,뉴인텍,KOSDAQ,2105,29.94,1149805,24.2,1717.0,1645.65,2337.78,2524.26,,52.7,67.67,0.0,0.0,100.0,27.91,True,False,recovering,strong_close,ma20_recovery,high,71,20일선 회복 구간으로 추세 전환 여부를 관찰할 만합니다. 거래량은 20일 평균 대비 52.7배입니다. 20일선 이격 27.9%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,003530,한화투자증권,KOSPI,9370,14.41,38051827,3565.5,8178.0,7612.0,7400.83,6226.83,82.03,10.1,12.23,8.67,34.5,65.5,23.1,True,False,strong_uptrend,gap_up,trend_continuation,high,69,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 거래량은 20일 평균 대비 10.1배입니다. RSI 82.0로 추격 매수는 부담스럽습니다. 20일선 이격 23.1%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,049120,파인디앤씨,KOSDAQ,4420,30.0,552601,24.4,3604.0,3481.0,3092.58,3398.25,,4.55,5.48,17.65,0.0,100.0,26.98,False,False,uptrend,strong_close,momentum_watch,high,66,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 20일선 이격 27.0%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,33626L,두산퓨얼셀2우B,KOSPI,13320,17.67,203670,27.1,11504.0,10310.0,10052.67,10445.67,90.69,26.18,32.92,0.0,31.8,68.2,29.19,True,True,uptrend,normal,trend_continuation,high,64,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 26.2배입니다. RSI 90.7로 추격 매수는 부담스럽습니다. 20일선 이격 29.2%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,276730,한울앤제주,KOSDAQ,12020,29.95,186586,22.4,9804.0,9496.4,10100.58,14697.62,,32.13,38.33,0.0,0.0,100.0,26.57,False,False,recovering,strong_close,ma20_recovery,high,63,20일선 회복 구간으로 추세 전환 여부를 관찰할 만합니다. 거래량은 20일 평균 대비 32.1배입니다. 20일선 이격 26.6%라 눌림 확인이 유리합니다. 다음 봉의 저가 이탈 여부를 먼저 보는 편이 안전합니다.
20260506,00680K,미래에셋증권2우B,KOSPI,23800,15.82,2539884,604.5,20912.0,20495.0,20072.38,15592.89,68.23,5.74,6.73,4.62,13.6,86.4,16.13,True,True,strong_uptrend,strong_close,volume_breakout,low,100,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 5.7배입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,006805,미래에셋증권우,KOSPI,25850,14.63,948779,245.3,22810.0,22272.5,22259.63,17651.72,68.24,7.23,8.42,5.1,19.1,80.9,16.06,True,False,strong_uptrend,strong_close,trend_continuation,low,100,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 거래량은 20일 평균 대비 7.2배입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,006800,미래에셋증권,KOSPI,83800,19.2,20671110,17322.4,71020.0,68890.0,65471.08,45775.43,66.76,6.93,8.45,7.4,27.4,72.6,21.64,True,True,strong_uptrend,normal,volume_breakout,low,97,거래량을 동반한 돌파형입니다. 60일 신고가를 건드려 수급 집중 신호가 있습니다. 거래량은 20일 평균 대비 6.9배입니다. 20일선 이격 21.6%라 눌림 확인이 유리합니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,039490,키움증권,KOSPI,484500,14.67,580954,2814.7,434800.0,447325.0,441633.33,374883.33,51.11,3.73,4.08,9.59,19.5,80.5,8.31,True,False,uptrend,strong_close,trend_continuation,low,94,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,469750,아이비젼웍스,KOSDAQ,1378,18.69,8767737,120.8,1208.8,1228.55,1201.45,1266.33,61.88,25.03,28.0,0.26,35.5,64.5,12.16,True,False,uptrend,normal,trend_continuation,low,83,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 거래량은 20일 평균 대비 25.0배입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,006120,SK디스커버리,KOSPI,62900,13.13,124118,78.1,58120.0,58970.0,57490.0,59157.5,50.32,2.54,2.72,2.16,11.8,88.2,6.66,False,False,uptrend,strong_close,momentum_watch,low,82,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
20260506,204270,제이앤티씨,KOSDAQ,22500,17.8,1883829,423.9,20084.0,18649.0,19141.33,19979.0,74.54,8.9,10.71,4.71,22.2,77.8,20.65,True,False,recovering,strong_close,ma20_recovery,low,77,20일선 회복 구간으로 추세 전환 여부를 관찰할 만합니다. 거래량은 20일 평균 대비 8.9배입니다. 20일선 이격 20.6%라 눌림 확인이 유리합니다.
20260506,229000,젠큐릭스,KOSDAQ,2950,29.96,6558910,193.5,2458.0,2464.0,2808.1,2227.59,64.89,11.18,13.29,0.0,0.0,100.0,19.72,False,False,recovering,strong_close,ma20_recovery,low,77,20일선 회복 구간으로 추세 전환 여부를 관찰할 만합니다. 거래량은 20일 평균 대비 11.2배입니다.
20260506,100590,머큐리,KOSDAQ,8880,19.84,15063167,1337.6,7046.0,7785.0,5477.58,4357.5,37.5,3.06,3.12,5.26,28.0,72.0,14.07,False,False,uptrend,normal,momentum_watch,medium,66,모멘텀은 있으나 추가 확인이 필요한 자리입니다. 추세는 양호해 거래량이 유지되는지 확인합니다.
